Comment,Description,Designator,Quantity,DNP,Octopart URL

"Battery","Battery Lithium 3.7V 2.6AH","BT1","1","DNP",""
"Samsung CL10A475MQ8NNNC","CL10 Series 4.7 uF 6.3 V ±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor","C1, C2, C3, C4, C5, C10","6","","https://octopart.com/cl10a475mq8nnnc-samsung-19831531"
"Samsung CL05A104KA5NNNC","Ceramic capacitor SMD-0402 100nF /25V X5R# K +-10%, Samsung, RoHS","C6, C11","2","","https://octopart.com/cl05a104ka5nnnc-samsung-19018960"
"Samsung Electro-Mechanics CL21A226MOCLRNC","Cap Ceramic 22uF 16V X5R 20% SMD 0805 85°C Cardboard T/R","C7, C8, C9","3","",""
"Samsung CL05Y474KP5VPNC","Capacitor Ceramic 0.47uF 10% 10V 2-Pin Surface Mount T/R","C12, C13","2","","https://octopart.com/cl05y474kp5vpnc-samsung-106864824"
"LTST-C190TBKT","Standard LEDs - SMD WL-SMCD SMD Mono SMD 0603 Blue 465nm","D1","1","",""
"Lite-On LTST-C190EKT","LED; SMD; 0603; red; 1.12-3mcd; 1.6x0.8x0.8mm; 130°; 2÷2.6V; 10mA","D2","1","",""
"Lite-On LTST-C190GKT","Green 1.6 x 0.8 x 0.8 mm 130° Water Clear 6 mcd 2.1 V Surface Mount LED","D3","1","",""
"CUI TB003-500-P02BE","Terminal Block, Screw Type, 5.00","J1, J2, J5","3","","https://octopart.com/tb003-500-p02be-cui-100131675"
"Keystone 54","Cylindrical Battery Contacts, Clips, Holders & Springs 16-19mm PC BATTERY CLIP","J3, J6","2","",""
"Adam Tech PH1-05-UA","Conn Unshrouded Header HDR 5 POS 2.54mm Solder ST Thru-Hole","J4","1","DNP","https://octopart.com/ph1-05-ua-adam+tech-7873130"
"10118194-0001LF","Single Port 5 Contact Horizontal Right Angle Micro B USB 2.0 Receptacle","K1","1","",""
"Bourns SRN5040TA-1R5M","Ind Power Wirewound 1.5uH 20% Ferrite Core T/R","L1","1","","https://octopart.com/srn5040ta-1r5m-bourns-95745279"
"MMBT3906-7-F","MMBT3906 Series PNP 40 V 300 mW Small Signal Transistor Surface Mount- SOT-23-3","Q1","1","","https://octopart.com/mmbt3906-7-f-diodes+inc.-39667659"
"MCU80N03A-TP","N-channel Mosfet, Dpak Package","Q2","1","","https://octopart.com/mcu80n03a-tp-mcc-110117594"
"Stackpole Electronics RMCF0603ZT0R00","RMCF Series 0603 0.1 W 0 Ohm Jumper Surface Mount Thick Film Chip Resistor","R1, R7","2","","http://octopart.com/rmcf0603zt0r00-stackpole+electronics-19213618"
"Stackpole Electronics RMCF0402FT3K90","Res Thick Film 0402 3.9K Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD Paper T/R","R2","1","","https://octopart.com/rmcf0402ft3k90-stackpole+electronics-21527179"
"Stackpole Electronics RMCF0603JT680R","Res Thick Film 0603 680 Ohm 5% 0.1W(1/10W) ±200ppm/C Pad SMD Automotive T/R","R3, R6, R8","3","","https://octopart.com/rmcf0603jt680r-stackpole+electronics-19213592"
"Stackpole Electronics RMCF0402FT22K1","Res Thick Film 0402 22.1K Ohm 1% 0.063W ±100ppm/°C Molded SMD Paper T/R","R4, R12","2","","https://octopart.com/rmcf0402ft22k1-stackpole+electronics-19211363"
"Stackpole Electronics RMCF0402FT511R","Res Thick Film 0402 511 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R","R5, R11","2","","https://octopart.com/rmcf0402ft511r-stackpole+electronics-19212568"
"Stackpole Electronics RMCF0603FT2K00","Res Thick Film 0603 2K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R","R9","1","","https://octopart.com/rmcf0603ft2k00-stackpole+electronics-19213115"
"Stackpole Electronics RMCF0402FT2K55","Res Thick Film 0402 2.55K Ohm 1% 0.063W ±100ppm/°C Molded SMD Paper T/R","R10","1","","https://octopart.com/rmcf0402ft2k55-stackpole+electronics-19211346"
"Stackpole Electronics RMCF0402FT33K0","Res Thick Film 0402 33K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R","R13","1","","https://octopart.com/rmcf0402ft33k0-stackpole+electronics-19212474"
"Stackpole Electronics RMCF0402FT2K00","Res Thick Film 0402 2K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R","R14","1","","https://octopart.com/rmcf0402ft2k00-stackpole+electronics-19212433"
"Stackpole Electronics RMCF0603FT215R","Res Thick Film 0603 215 Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R","R15","1","","https://octopart.com/rmcf0603ft215r-stackpole+electronics-19211080"
"Stackpole Electronics RMCF0402JT10K0","Res Thick Film 0402 10K Ohm 5% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R","R16, R17","2","","https://octopart.com/rmcf0402jt10k0-stackpole+electronics-19212679"
"Cyntec RL1632T4F-R010-FNH","Res 0.01 Ohm 1% 1W 1206","R18","1","","https://octopart.com/rl1632t4f-r010-fnh-cyntec-86610802"
"C&K Components OS102011MS2QN1","Switch; Slide; Mini; SPDT; ON-ON; Non-Shorting(BBM); 100mA; 12VDC; ThruHole; PC Pin","SW1, SW2","2","","https://octopart.com/os102011ms2qn1-c%26k+components-2486956"
"TPS2121RUXR","2.7-22V, 56m?, 4.5A, Priority Power MUX with Seamless Switchover 12-VQFN-HR -40 to 125","U1","1","","https://octopart.com/tps2121ruxr-texas+instruments-95511053"
"Texas Instruments TPS259571DSGR","TPS259571 12V eFuse with Fast Overvoltage Protection 2.7V to 18V 4A 34m Ohm 8-Pin WSON T/R","U2","1","","https://octopart.com/tps259571dsgr-texas+instruments-88135752"
"MCP73831T-2DCI/OT","Microchip MCP73831T-2DCI/OT; Battery Charge Controller; 500mA; 5-Pin SOT-23","U3","1","","https://octopart.com/mcp73831t-2dci%2Fot-microchip-422782"
"MAX17055ETB+T","MAX17055 Series 4.9 V 18 uA Stand-Alone ModelGauge m5 Fuel Gauge - TDFN-10","U4","1","","https://octopart.com/max17055etb%2Bt-maxim+integrated-76519097"
"RT4812GJ8F","Boost Switching Regulator IC Positive Adjustable 1.8V 1 Output 2A SOT-23-8 Thin, TSOT-23-8","U5","1","",""
